Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21
Cambodia;16718965;176520;53;0.3170052692;;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;3;5;7;7;7;33;35;37;51;53
Cameroon;26545863;472710;27;0.1017107637;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;4;10;10;13;20;27
Canada;37742154;9093510;1268;3.3596386682;;0;0;0;0;1;1;2;2;2;4;4;4;4;4;5;5;7;7;7;7;7;7;7;7;7;7;8;8;8;8;9;9;9;10;11;11;13;14;20;24;27;30;33;37;49;54;64;77;79;108;117;191;196;250;413;470;648;791;933;1268
Canada Alberta;4067175;640330.46;195;4.7944826569;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;7;7;19;19;29;29;39;56;74;97;119;146;195
Canada British Columbia;4648055;922503.01;424;9.1220951559;;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;2;4;4;4;4;4;4;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;9;12;13;21;21;27;32;32;39;46;64;64;73;103;103;186;231;271;424
Canada Manitoba;1278365;552370.99;18;1.408048562;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;7;8;15;17;17;18
Canada New Brunswick;747101;71388.81;17;2.2754620861;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;6;8;11;11;11;17
Canada Newfoundland and Labrador;519716;370514.08;6;1.1544766757;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;3;4;6
Canada Northwest Territories;41786;1143793.8600000001;1;2.3931460298;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Canada Nova Scotia;923598;52942.27;21;2.273716487;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;12;14;15;21
Canada Ontario;13448494;908699.33;377;2.8032878626;;0;0;0;0;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;6;6;11;15;18;20;20;22;25;28;29;34;36;41;42;74;79;104;177;185;221;257;308;377
Canada Prince Edward Island;142907;5686.03;2;1.3995115705;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2
Canada Quebec;8164361;1356625.27;181;2.2169524351;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;3;4;4;4;8;9;17;17;24;50;74;94;121;139;181
Canada Saskatchewan;1098352;588243.54;26;2.3671828339;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;7;7;8;16;20;26
Cape Verde;555987;4030;3;0.5395809614;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
Cape Verde;555987;4030;1;0.1798603205;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Central African Republic;4829767;622980;3;0.0621147977;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;3
Chad;16425864;1259200;1;0.0060879598;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
Channel Islands;173863;190;32;18.405296124;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;3;6;6;6;11;14;32
Chile;19116201;743532;537;2.8091355599;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;4;4;8;8;13;23;23;43;61;74;155;201;238;238;434;537
China;1439323776;9388211;81305;5.6488332476;;548;643;920;1406;2075;2877;5509;6087;8141;9802;11891;16630;19716;23707;27440;30587;34110;36814;39829;42354;44386;44759;59895;66358;68413;70513;72434;74211;74619;75077;75550;77001;77022;77241;77754;78166;78600;78928;79356;79932;80136;80261;80386;80537;80690;80770;80823;80860;80887;80921;80932;80945;80977;81003;81033;81058;81102;81156;81250;81305
China Anhui;59500510;139700;990;1.6638512846;;1;9;15;39;60;70;106;152;200;237;297;340;408;480;530;591;665;733;779;830;860;889;910;934;950;962;973;982;986;987;988;989;989;989;989;989;989;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990
China Beijing;19612368;16800;504;2.5698069708;;14;22;36;41;68;80;91;111;114;139;168;191;212;228;253;274;297;315;326;337;342;352;366;372;375;380;381;387;393;395;396;399;399;399;400;400;410;410;411;413;414;414;418;418;422;426;428;428;429;435;435;436;437;442;452;456;469;480;491;504
China Chongqing;28846170;82300;576;1.9967988818;;6;9;27;57;75;110;132;147;182;211;247;300;337;366;389;411;426;428;468;486;505;518;529;537;544;551;553;555;560;567;572;573;575;576;576;576;576;576;576;576;576;576;576;576;576;576;576;576;576;576;576;576;576;576;576;576;576;576;576;576
China Fujian;36894216;121580;303;0.8212669433;;1;5;10;18;35;59;80;84;101;120;144;159;179;194;205;215;224;239;250;261;267;272;279;281;285;287;290;292;293;293;293;293;293;293;294;294;296;296;296;296;296;296;296;296;296;296;296;296;296;296;296;296;296;296;296;296;296;296;299;303
China Gansu;25575254;454300;134;0.5239439655;;0;2;2;4;7;14;19;24;26;29;40;51;55;57;62;62;67;79;83;83;86;87;90;90;90;90;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;102;119;120;124;124;125;127;127;127;129;133;133;133;133;134;134;134
