#;Company;Symbol;Weight sp500;      Price;Chg;% Chg
305;M&T Bank Corporation;MTB;0.061582;  179.29;0.00;(0.00%)
306;Albemarle Corporation;ALB;0.061367;  198.00;-0.24;(-0.12%)
307;Ameren Corporation;AEE;0.060989;  87.85;0.00;(0.00%)
308;Diamondback Energy Inc.;FANG;0.060887;  131.75;0.30;(0.23%)
309;STERIS Plc;STE;0.060864;  234.71;0.00;(0.00%)
310;Mosaic Company;MOS;0.060582;  62.21;0.13;(0.21%)
311;Dover Corporation;DOV;0.060507;  159.27;0.00;(0.00%)
312;AmerisourceBergen Corporation;ABC;0.0604;  152.00;0.00;(0.00%)
313;PerkinElmer Inc.;PKI;0.060286;  182.39;0.00;(0.00%)
314;KeyCorp;KEY;0.060111;  23.93;0.00;(0.00%)
315;Zebra Technologies Corporation Class A;ZBRA;0.059843;  438.00;0.82;(0.19%)
316;Paramount Global Class B;PARA;0.059683;  37.09;0.00;(0.00%)
317;Essex Property Trust Inc.;ESS;0.059557;  341.60;0.00;(0.00%)
318;Regions Financial Corporation;RF;0.059352;  22.95;0.00;(0.00%)
319;Entergy Corporation;ETR;0.059261;  109.45;0.00;(0.00%)
320;Best Buy Co. Inc.;BBY;0.058825;  101.84;0.00;(0.00%)
321;Huntington Bancshares Incorporated;HBAN;0.058803;  15.13;0.01;(0.07%)
322;Skyworks Solutions Inc.;SWKS;0.058676;  135.18;0.00;(0.00%)
323;Fortive Corp.;FTV;0.058412;  61.90;0.00;(0.00%)
324;Hewlett Packard Enterprise Co.;HPE;0.058361;  17.04;0.00;(0.00%)
325;W.W. Grainger Inc.;GWW;0.058286;  501.95;0.00;(0.00%)
326;Ulta Beauty Inc;ULTA;0.056676;  391.21;-0.02;(-0.01%)
327;Citizens Financial Group Inc.;CFG;0.056609;  49.25;0.00;(0.00%)
328;Duke Realty Corporation;DRE;0.056052;  56.50;0.22;(0.39%)
329;VeriSign Inc.;VRSN;0.055295;  220.75;0.00;(0.00%)
330;Ingersoll Rand Inc.;IR;0.055011;  51.40;0.00;(0.00%)
331;Cooper Companies Inc.;COO;0.054968;  421.31;0.00;(0.00%)
332;Synchrony Financial;SYF;0.054852;  37.59;0.00;(0.00%)
333;Nasdaq Inc.;NDAQ;0.054675;  180.00;0.77;(0.43%)
334;PPL Corporation;PPL;0.054395;  26.68;0.01;(0.04%)
335;Waters Corporation;WAT;0.054241;  338.14;0.00;(0.00%)
336;Teledyne Technologies Incorporated;TDY;0.054084;  437.38;0.00;(0.00%)
337;Coterra Energy Inc.;CTRA;0.05369;  25.00;0.15;(0.60%)
338;CF Industries Holdings Inc.;CF;0.053114;  95.25;0.00;(0.00%)
339;Molina Healthcare Inc.;MOH;0.052998;  343.35;0.00;(0.00%)
340;Cincinnati Financial Corporation;CINF;0.052978;  127.60;-0.35;(-0.27%)
341;Teradyne Inc.;TER;0.052618;  121.63;-1.32;(-1.07%)
342;Generac Holdings Inc.;GNRC;0.052248;  320.01;0.68;(0.21%)
343;Raymond James Financial Inc.;RJF;0.051891;  105.78;0.00;(0.00%)
344;CMS Energy Corporation;CMS;0.051885;  66.20;0.00;(0.00%)
345;NetApp Inc.;NTAP;0.051767;  89.05;-0.64;(-0.71%)
346;Signature Bank;SBNY;0.051571;  320.00;7.35;(2.35%)
347;Monolithic Power Systems Inc.;MPWR;0.051566;  470.00;0.12;(0.03%)
348;FLEETCOR Technologies Inc.;FLT;0.051467;  239.21;0.00;(0.00%)
349;Pool Corporation;POOL;0.050922;  493.84;6.43;(1.32%)
350;Hologic Inc.;HOLX;0.050231;  74.91;0.00;(0.00%)
351;Akamai Technologies Inc.;AKAM;0.050148;  116.79;-0.83;(-0.71%)
352;V.F. Corporation;VFC;0.049465;  57.87;0.38;(0.66%)
353;Seagate Technology Holdings PLC;STX;0.04944;  95.00;0.68;(0.72%)
354;Genuine Parts Company;GPC;0.049006;  129.00;0.00;(0.00%)
355;CenterPoint Energy Inc.;CNP;0.048965;  29.05;0.00;(0.00%)
356;J.B. Hunt Transport Services Inc.;JBHT;0.048613;  217.00;1.93;(0.90%)
357;Marathon Oil Corporation;MRO;0.048605;  23.14;0.06;(0.26%)
358;Omnicom Group Inc;OMC;0.048565;  84.22;0.00;(0.00%)
