Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24
US Kansas;2913314;211754;0.4165900602;0.0539551114;0.0669293128;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4165900602;0.3342349737;0.2749140361;0.2372422911;0.2512847702;0.2611027552;0.2755077272;0.2711620007;0.2546524198;0.2326230973;0.1995837917;0.1804387665;0.1607002615;0.1498024016;0.1393926334;0.1314806824;0.1210921477;0.1197197493;0.1209705221;0.1174894882;0.1155005507;0.1026227017;0.0937678607;0.0812006911;0.0731931413;0.0699565658;0.0741266375;0.0863916814;0.0941095043;0.0990421196;0.0933506464;0.0983975883;0.1061917437;0.126686613;0.156249313;0.1674058495;0.1571059096;0.1275675787;0.1024434303;0.0995165343;0.1098977237;0.1232433325;0.1223936086;0.1123736948;0.0966453283;0.0842272543;0.0850444495;0.090311568;0.0981495684;0.0973678561;0.0878858424;0.073369276;0.0611411373;0.0593911639;0.0587706958;0.061773733;0.0638473879;0.0617665374;0.05773149;0.0539551114;0.0548856443;0.0607781017;0.0672504096;0.0669293128
US Kentucky;4467673;102269;0.3395806587;0.0499324841;0.0499324841;0.0172086399;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1984873499;0.2108076769;0.2411028371;0.3143289602;0.3395806587;0.3353358894;0.3130736946;0.2563151323;0.2486748041;0.2409826295;0.2619862049;0.2527874975;0.2250653432;0.2008141013;0.1760837779;0.1682802548;0.1583514504;0.1528742462;0.1286654703;0.1025124624;0.0935395928;0.1008804778;0.135535262;0.1647020987;0.1811357279;0.1583120742;0.1138821477;0.0910083135;0.0772917938;0.0822241891;0.0816829548;0.0806480194;0.084828806;0.0881698887;0.0964162849;0.0974175385;0.1020618173;0.0956272596;0.0936599214;0.099561183;0.0951463007;0.0873853499;0.0807060061;0.0774126669;0.0805757407;0.0816180002;0.0838371014;0.0736025141;0.0770227679;0.0902440004;0.1035181311;0.1131584783;0.0984325054;0.0845668821;0.0636826876;0.0632576099;0.0626133375;0.0672361149;0.073612134;0.0776647811;0.0800502329;0.0802033067;0.0906051886;0.0790715799;0.0635350213;0.0508439883;0.0499324841
US Louisiana;4648794;111898;0.4980830039;0.0407904311;0.0943955751;0.0034827214;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4980830039;0.4320985639;0.4375840872;0.4343955714;0.4097791728;0.3863527975;0.3495579933;0.3403774968;0.3167905764;0.2876598114;0.2636191901;0.2282546466;0.1955879941;0.1774924981;0.1777216124;0.2217832171;0.2534253305;0.2693246779;0.2448967355;0.1956033056;0.15635397;0.1209678393;0.1094612966;0.0912333159;0.0820306885;0.0673444691;0.0561566708;0.0490528456;0.0407904311;0.0416009953;0.0422088128;0.0496352831;0.050411385;0.0561196738;0.0593304828;0.0582380877;0.0621494495;0.065545604;0.0689992691;0.0679181694;0.0649373776;0.0600216779;0.0550353166;0.055839243;0.0630188416;0.0746994534;0.0835988041;0.08835298;0.0785503514;0.0712943904;0.0678637595;0.0685655249;0.0692981883;0.0680540022;0.0685948209;0.06420492;0.0623958308;0.0691675954;0.0879511134;0.1048819227;0.1003535483;0.0870668297;0.0717018793;0.0632363139;0.0670260979;0.0792511372;0.0972539999;0.0943955751
US Maine;1344212;79883;0.2421214794;0.0454437678;0.1112317326;0.0208643815;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2421214794;0.2040252024;0.2035202457;0.2012087069;0.1842391695;0.1536701862;0.1376450895;0.1364934909;0.1552325481;0.1698364662;0.1671973563;0.1489442576;0.1352250694;0.1316160046;0.1253905491;0.1099679133;0.0870374086;0.0735794833;0.0614542211;0.0595518918;0.0656451605;0.0703976549;0.0786875693;0.0893542065;0.1035907545;0.1100959138;0.1107910314;0.0991907899;0.0795944799;0.0698901549;0.0574911612;0.0481831746;0.0454437678;0.0524473469;0.0635960602;0.0716833672;0.0819993869;0.0785989533;0.070414515;0.0663044224;0.0748139766;0.0865579694;0.0979241608;0.0965190496;0.0912247329;0.0816395169;0.0825163873;0.0945700936;0.1100031488;0.1171633062;0.1034652768;0.0857068987;0.066587585;0.0649768381;0.0708127277;0.0807381807;0.0877941711;0.0873762464;0.0797864033;0.0737989758;0.0835855332;0.0960190363;0.1074566288;0.1112317326
US Maryland;6045680;25142;0.3878975464;0.0655501333;0.0828723881;0.0179799978;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3431440278;0.3577275357;0.3878975464;0.380384118;0.347670107;0.3103090379;0.2724983152;0.2468844451;0.2389781154;0.2581993755;0.2848998198;0.305218135;0.2888627932;0.2569174021;0.2212220816;0.196543577;0.1906810125;0.1861303847;0.1827859967;0.1710693132;0.1541471457;0.1531940358;0.1555331126;0.1658082869;0.1692926324;0.1552456102;0.1365183639;0.1123927792;0.1006574733;0.0925654824;0.0898312685;0.0912836207;0.0916831104;0.0908930318;0.0849930066;0.0850297611;0.0831867074;0.0855323342;0.0941495191;0.0997978103;0.1055479885;0.1022279107;0.0924486813;0.0855381256;0.0847227945;0.0928361341;0.1002856783;0.1046717556;0.0958479712;0.085243886;0.0781488412;0.0796325345;0.0850754776;0.0869824303;0.0863651386;0.0792774713;0.0709313952;0.0655501333;0.0689810535;0.0732877175;0.078619644;0.0802333727;0.079589496;0.0826139969;0.0883081169;0.0900780122;0.0869268224;0.0828723881
US Massachusetts;6892503;20202;0.4537033715;0.0532805019;0.0659900819;0.0110514717;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4218566325;0.3749791276;0.371248824;0.3722293079;0.3548977234;0.3532940327;0.3836019522;0.4196840087;0.4537033715;0.4403110098;0.3753073867;0.3079165194;0.2455566604;0.2027084733;0.1775400616;0.1678617871;0.1658044686;0.1542121935;0.1385888958;0.122294026;0.1145491377;0.1162594278;0.1241817625;0.1338970293;0.1355264855;0.1304872287;0.1200841425;0.1067698709;0.0966518428;0.0965622517;0.1011246157;0.1059088805;0.1048929549;0.0962565309;0.0850831305;0.0803032247;0.0832013713;0.0905286787;0.0986468992;0.0931914873;0.0813718274;0.0703630893;0.0673900439;0.0702416537;0.0746855611;0.0774848699;0.0748276903;0.0689135869;0.0618956996;0.0606297249;0.0649580758;0.0702600676;0.0720939931;0.0681131233;0.060421183;0.0539316818;0.0532805019;0.0601145442;0.0705097557;0.0789522981;0.0779891695;0.0732592315;0.0684702797;0.0670244961;0.0669851959;0.067936843;0.0659900819
US Michigan;9986857;146435;0.4099317735;0.0484519357;0.0646323501;0.0057757749;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3951333506;0.3659235746;0.3691007459;0.3889250814;0.4099317735;0.4051268185;0.3817216554;0.3463381566;0.3146145901;0.2868882834;0.2679935911;0.2502498975;0.2291915012;0.2038110354;0.1780816972;0.1611526887;0.1461181778;0.1365006962;0.128490462;0.1243014747;0.1190288875;0.1140644226;0.111341875;0.1089260401;0.1101117632;0.113143237;0.1190639062;0.1202765183;0.1181164822;0.1148404522;0.1097361715;0.1015845599;0.0924834608;0.0851387576;0.0810736839;0.0804015221;0.0809348479;0.0797744175;0.0788806417;0.0819484735;0.0841209971;0.0835668405;0.0770774648;0.0684271302;0.0625599321;0.0602320266;0.0666339436;0.0784099926;0.0887973596;0.0880581536;0.0784098671;0.0684698449;0.0636359237;0.069866043;0.0801561189;0.085087401;0.0831768614;0.0727932736;0.0608772561;0.0507289243;0.0484519357;0.0549054035;0.0602609594;0.0631590625;0.0587778117;0.056000991;0.0563414076;0.0612856277;0.0744197699;0.0886579483;0.091465355;0.0828634047;0.0802708978;0.0775032395;0.0787202723;0.0781881906;0.0722385658;0.0646323501
US Minnesota;5639632;206232;0.3404561136;0.0776045787;0.0853533809;0.0366843034;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3404561136;0.2642367443;0.2325488237;0.2204901249;0.246534584;0.2435608445;0.2345605559;0.2123010082;0.1807549759;0.1626914884;0.1545798094;0.1562226876;0.1486908626;0.1400358044;0.1284988175;0.1162758247;0.105064513;0.0992120733;0.1029280386;0.1023728078;0.100856156;0.1047662982;0.1079927836;0.1097070698;0.1176214563;0.1214870399;0.1177113073;0.1051286707;0.0886880948;0.0867960381;0.0933813798;0.1084048108;0.1127174181;0.1078101992;0.100391676;0.0954156025;0.1013684326;0.1139035633;0.1303256581;0.1266419412;0.1177690446;0.1178965918;0.1286514219;0.1457774726;0.1579223196;0.1573003494;0.1453682474;0.131022643;0.124047949;0.1237637639;0.1262270894;0.1262490056;0.1170121773;0.1040222761;0.0921342072;0.083055366;0.0784224569;0.0776045787;0.0795183882;0.0834312657;0.0875012186;0.0900918041;0.0896313185;0.086461166;0.084054015;0.0841442405;0.0853533809
US Mississippi;2976149;121531;0.5917282357;0.0621164146;0.0914465661;0.0189926951;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5871682242;0.5917282357;0.5457186748;0.4763610955;0.3701075388;0.2935053252;0.2504255898;0.2258272496;0.2096992706;0.1803525053;0.1559607742;0.1384966862;0.1290195132;0.1307712836;0.1320092212;0.1341708659;0.1279199398;0.1205953524;0.112282771;0.1087593419;0.1129895221;0.1153702595;0.1193912617;0.1105314554;0.0998851115;0.0916231338;0.0930785063;0.1018556026;0.1046617001;0.1040441615;0.099135551;0.0976101665;0.0934398499;0.0931066832;0.0907399481;0.0897632053;0.0914616027;0.0903745227;0.0845163741;0.079939076;0.0788531845;0.0807318825;0.0859691522;0.0913722834;0.088113303;0.0822717051;0.0803340291;0.0820079085;0.0860019455;0.0904974645;0.0888585506;0.0824943297;0.0734685443;0.0642408507;0.0621164146;0.0717277109;0.0828469358;0.0863619638;0.0854197731;0.0787322036;0.0681572956;0.067524902;0.0757013285;0.0858755357;0.0914465661
US Missouri;6137428;178040;0.6008418222;0.0464568451;0.0838806102;0.0200816882;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6008418222;0.5517198685;0.5306659277;0.4548474004;0.3918956229;0.3216813438;0.2589949242;0.2140322222;0.1854292586;0.1829215019;0.1892044803;0.1789223337;0.1507619803;0.1253515906;0.1109463545;0.1103927773;0.11619247;0.1170260934;0.1104047772;0.0923934652;0.0803539807;0.0773386898;0.078281907;0.0815295751;0.0835471931;0.0806042471;0.0721030945;0.0696721914;0.0676854693;0.0647978618;0.063897688;0.0690489987;0.0785467628;0.0839725385;0.086410501;0.0834809424;0.0759303876;0.0672510001;0.0647536356;0.0723115567;0.0837090193;0.0953882438;0.1009552141;0.09997191;0.0906037239;0.0831995689;0.0770257707;0.0697656928;0.0664053195;0.0593866047;0.0503856105;0.0464568451;0.0494674325;0.0585197246;0.0676699033;0.0778519324;0.0768792641;0.0742508113;0.0754349161;0.0727286519;0.0772030012;0.0838806102
US Montana;1068778;376962;0.3241615792;0.0238877751;0.0743535084;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3073288509;0.2901868197;0.265843587;0.2880044638;0.302364962;0.3241615792;0.2911243736;0.2269130634;0.1709783355;0.1284973387;0.1128944691;0.1040601363;0.1006640185;0.0930966168;0.0871348287;0.0788351908;0.0759097446;0.0774005288;0.0749838323;0.0732495898;0.0637144146;0.0544978476;0.0459291022;0.0422737863;0.0411541812;0.0453493355;0.0503700122;0.0487682185;0.0468506059;0.0384379558;0.0358823677;0.0333624702;0.0323544867;0.0361454831;0.0369126353;0.0373953311;0.036925365;0.0421284349;0.0447187333;0.0405795327;0.0474879728;0.0458056314;0.044028804;0.0362994037;0.0272758283;0.0238877751;0.0292571228;0.0417983478;0.0501731477;0.0558992188;0.0699091054;0.0917333821;0.112398668;0.1255505796;0.1362764389;0.1296322185;0.1010200706;0.0836737678;0.0978326955;0.1166354143;0.110167758;0.0743535084
US Nebraska;1934408;198974;0.2405304056;0.0505743865;0.0787429771;0.0280397873;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1423119139;0.1310191414;0.1408288703;0.1511967951;0.173478094;0.1833347387;0.1692158339;0.150925847;0.1396146472;0.1493252902;0.1647655333;0.1826801475;0.1945321278;0.2053556309;0.2260029359;0.2405304056;0.2311777513;0.2130232814;0.1874499467;0.1692852834;0.1525746964;0.1462965342;0.1414705959;0.1387603088;0.1363370478;0.133304232;0.1306087629;0.1186223458;0.1040880507;0.0861989742;0.0823783437;0.0871164505;0.108510002;0.1298178915;0.1490255147;0.1618299389;0.1510993667;0.1392316372;0.1348147366;0.1507463462;0.1653128137;0.1710088448;0.1542997664;0.1288242826;0.1163995828;0.1185716321;0.1357915172;0.1490912059;0.1498610581;0.1272823395;0.1024472192;0.0871156683;0.0855708263;0.0895590333;0.0947791025;0.0878461061;0.0668004277;0.0542378862;0.0505743865;0.0592195353;0.0741106232;0.0839089104;0.0818724403;0.0739899416;0.0665658259;0.0654460053;0.0710557736;0.0787429771
US Nevada;3080156;284332;0.4469690378;0.0599061016;0.0933674986;0.0096153846;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4469690378;0.3452412743;0.2877758577;0.2495090547;0.2597130546;0.2682209946;0.2716117232;0.2518248825;0.2339743611;0.2266155244;0.2304967472;0.2455023497;0.2350797864;0.2251409275;0.2075682928;0.1698688239;0.1433724526;0.1185119833;0.1084010802;0.0972497443;0.0901459576;0.0933599723;0.093274061;0.092609219;0.0852458488;0.083591046;0.0759380023;0.0766645858;0.0771679143;0.0748750157;0.0801087676;0.0803926087;0.0783101423;0.0723576465;0.0726139092;0.0711811873;0.077645164;0.0841674014;0.0883821355;0.0854439069;0.0747088379;0.0665865671;0.0619865714;0.0692958724;0.0775283513;0.0838404366;0.0826901965;0.0749307178;0.0678600025;0.0599061016;0.0645873249;0.0697131176;0.0747086985;0.0754998414;0.0735592673;0.069546649;0.0700442229;0.0782133577;0.0787263906;0.0790817757;0.0757932909;0.0790210759;0.0789665203;0.078779218;0.0813636155;0.0832506241;0.0933674986
US New Hampshire;1359711;23187;0.3355263418;0.0564735338;0.095251899;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3355263418;0.3162017207;0.2616544364;0.2348053235;0.2116621045;0.214595396;0.2027697619;0.1927500316;0.1930903765;0.2089493639;0.230662304;0.2424687816;0.2378143603;0.1874767255;0.1470706778;0.1191066253;0.1190986907;0.123188207;0.1196706861;0.1072926314;0.0883518489;0.0729086337;0.0640495181;0.0727700659;0.0783636461;0.0915322913;0.1010274092;0.1080124;0.1150904036;0.1084733275;0.0900485543;0.0730763114;0.0771612664;0.0815574999;0.0850708114;0.0862151234;0.0836553958;0.0815517575;0.0821527012;0.0911162017;0.0919745554;0.0923182079;0.0901984368;0.0966792788;0.1106450232;0.1230167197;0.1140417553;0.0900191387;0.070619372;0.0679736889;0.0724701812;0.0820006824;0.0845150984;0.0789165219;0.06784018;0.0615091441;0.0680191887;0.073914124;0.0818177153;0.0683694976;0.0566673412;0.0564735338;0.0707239395;0.0869266202;0.095251899
US New Jersey;8882190;19047;0.6020813525;0.0475112712;0.068346405;0.0068580834;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4610041809;0.5064277118;0.5174303195;0.5490131465;0.6020813525;0.5643641897;0.5343119233;0.4803338893;0.438917941;0.427716485;0.3915664997;0.3838521441;0.3525006952;0.3397622531;0.3256983594;0.29142089;0.2512798539;0.2145649146;0.1942642759;0.1776994971;0.171228521;0.1604777657;0.1513192034;0.1325317864;0.1142440958;0.1030717012;0.094794788;0.0917051479;0.0899761627;0.0890614403;0.0861916778;0.0830415056;0.081241704;0.0816233756;0.0819993005;0.0829672467;0.0817234379;0.0836540215;0.0827310732;0.084284405;0.0842188963;0.0815366297;0.0786652114;0.0740911435;0.0731756393;0.0674622315;0.0667060964;0.0638962048;0.0624882069;0.0658164441;0.0676561213;0.0686913301;0.0666184437;0.0638145584;0.0585415546;0.0567943029;0.0599043142;0.0586504945;0.0585427028;0.0545624916;0.0496589676;0.0475112712;0.0499621317;0.0571882482;0.0628731982;0.070938196;0.0731351919;0.0748674244;0.0751614754;0.0740898069;0.068346405
US New Mexico;2096829;314161;0.2641960881;0.0691509562;0.07447873;0.0256603774;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2565212539;0.2641960881;0.2633232088;0.2404499354;0.2077809063;0.1849775028;0.1692835547;0.1710915268;0.1881420237;0.2169312101;0.2412575394;0.2518635525;0.2422174739;0.1990331681;0.157061564;0.1343310716;0.1454339207;0.1570367405;0.1645049046;0.16407986;0.1562081752;0.1487122698;0.1532687665;0.1638723237;0.159462596;0.1380694458;0.1031898916;0.0857958949;0.0750521524;0.0805920894;0.0875560421;0.0904454387;0.0911235047;0.088288058;0.0856700673;0.0853873134;0.1036654104;0.1104602193;0.1154261578;0.1112250767;0.1024320689;0.0879845066;0.0833304385;0.0933503481;0.105576739;0.1108158668;0.1025727229;0.0954833402;0.0871131872;0.0822209414;0.0825586625;0.0814967315;0.0853598448;0.0802997063;0.0743189119;0.0697878672;0.0728006077;0.0775881583;0.0779247104;0.081741147;0.0789915882;0.079869286;0.0745636154;0.0700915201;0.0691509562;0.0700314295;0.07447873
US New York;19453561;122057;0.6002279423;0.0471280589;0.0681656089;0.0044147964;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4189131263;0.3484292596;0.3114660192;0.3169870028;0.3338678528;0.3308166326;0.3728570782;0.4147615088;0.4918432242;0.5801730784;0.5946182883;0.6002279423;0.5444259525;0.4623068901;0.3789808368;0.3050694853;0.2513336798;0.2174251761;0.1957569061;0.1776941132;0.1603699373;0.1432283769;0.1323597974;0.1271308819;0.1235993317;0.1214438052;0.1169053728;0.1085456199;0.0996227722;0.0946125396;0.0944122953;0.0968314946;0.0955253967;0.0899359457;0.0819741036;0.0751956605;0.0733170633;0.0765017941;0.0792994637;0.0762823849;0.0701007123;0.0613297344;0.0565916805;0.054903961;0.0583461726;0.0677830673;0.0785440585;0.0839693031;0.0800062621;0.0720144329;0.0616447436;0.055832433;0.057995744;0.0603962633;0.0598289065;0.054960244;0.049639183;0.0471280589;0.0492382272;0.0583351799;0.0630724287;0.0621822955;0.0567869064;0.0519892023;0.0512133963;0.0544333528;0.0632917503;0.0707379437;0.0722444204;0.0665649935;0.059938767;0.0573879674;0.0587981281;0.0638631094;0.0681656089
US North Carolina;10488084;125920;0.4380025035;0.065690018;0.0965051318;0.021870187;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2888125972;0.3032448881;0.3606682351;0.4170602233;0.4380025035;0.3876492805;0.3433791921;0.3071900579;0.2836539453;0.2734368458;0.2583256571;0.2365667593;0.2140403276;0.1975160499;0.1781089191;0.1676728529;0.1493010698;0.1448066704;0.1408789978;0.1372689967;0.1357478204;0.1247082379;0.1189101349;0.1085929846;0.1041141682;0.0982463302;0.1001202097;0.0987031984;0.0862438464;0.078971316;0.0742754416;0.0823599184;0.0903267681;0.0968729222;0.0984548639;0.0882287169;0.0802714335;0.0819001752;0.0940015955;0.1036688697;0.1082257608;0.0998802175;0.0871786077;0.0867393788;0.091087982;0.098148967;0.100137727;0.0914218564;0.0768441557;0.065690018;0.069979921;0.0809281008;0.0967169884;0.0975491352;0.0905724894;0.0813278324;0.0712943039;0.0719751165;0.0790691214;0.094473811;0.1024883527;0.1029686115;0.0984909887;0.090996012;0.0877672987;0.0850050784;0.0899808777;0.0965051318
US North Dakota;762062;178711;0.2456594088;0.0713716361;0.1098522219;0.022410148;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.130769716;0.1312932154;0.1596370673;0.2135523374;0.2456594088;0.2385383559;0.213822708;0.1793071384;0.163216178;0.1477781781;0.1374865534;0.1243470669;0.1117293402;0.1050312467;0.0984504146;0.0934676808;0.0861293102;0.081697705;0.0787879566;0.0795707997;0.0835891612;0.0885217342;0.0964553077;0.1065459067;0.1318008216;0.1641387164;0.1898606659;0.1833721079;0.149552242;0.1122961734;0.0837109299;0.0794615595;0.0856920883;0.0998829667;0.1067434289;0.1087511133;0.100228197;0.0872405889;0.0812740601;0.07583951;0.0749782472;0.0715088985;0.0713716361;0.0724711087;0.0767877521;0.0822272705;0.0841025216;0.0814931076;0.0727995655;0.071981598;0.0791706394;0.0914058841;0.1005411779;0.1032296758;0.0995923236;0.0908822124;0.0860944863;0.0905326062;0.1036342819;0.1146153333;0.1098522219
US Ohio;11689100;105829;0.401238644;0.0357536882;0.0827519797;0.016015028;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3895232116;0.3603090691;0.3719809989;0.3941550561;0.401238644;0.38375683;0.3419470214;0.2968021781;0.2748863081;0.2637414713;0.2571846558;0.2428531001;0.2155317614;0.1895617608;0.1688488609;0.1591038193;0.1555588824;0.1481159146;0.1383101106;0.1241209893;0.1116192138;0.1022717652;0.0970989784;0.0950378295;0.0911463959;0.0892403627;0.0856063312;0.0851651189;0.0887815019;0.0989029269;0.1165254769;0.1355950242;0.1569027104;0.166827352;0.1589139545;0.1326745289;0.0991197525;0.0735990682;0.059176161;0.0479000911;0.038255809;0.0357536882;0.0458463317;0.0667190093;0.0868135311;0.101415311;0.1028166893;0.0929130025;0.0852712903;0.0822704969;0.0824069859;0.0853258539;0.0875422965;0.0795757557;0.0736043127;0.0738812589;0.0706096132;0.0709290006;0.073592114;0.0736145704;0.0729273592;0.0701775728;0.0683061444;0.0687886115;0.0751048378;0.08153196;0.0827519797
US Oklahoma;3956971;177660;0.4057078589;0.0616555005;0.0877767005;0.0129194631;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.32781358;0.2281026623;0.2070691547;0.2529090746;0.332541375;0.3921141969;0.4057078589;0.352036837;0.2648474451;0.1987113742;0.1757523956;0.1860713254;0.2005363494;0.2062239417;0.1880822564;0.1560845056;0.1279659222;0.1045219108;0.0976127374;0.0920629591;0.0899637055;0.0873962359;0.0780924422;0.0757073031;0.0743426209;0.0771784235;0.0776209815;0.0800981372;0.0779156987;0.0720300954;0.070627923;0.067365051;0.0763904364;0.0840108499;0.087839102;0.0852970798;0.0751088801;0.0676287961;0.0619470537;0.0676000183;0.080210107;0.0919888319;0.0953768614;0.0920421587;0.0900676264;0.0797256809;0.074862142;0.0752804062;0.0759355204;0.0759448122;0.0686050354;0.0657876143;0.0616555005;0.0693170603;0.0812024743;0.0884346606;0.0967579445;0.0925827246;0.0849764426;0.0750324931;0.0700885153;0.0700085876;0.078541294;0.0877767005
