Country/Region;Population;Area;Maximum;Per 100,000 inh.;% CDGR;Blank 2;Comments;Day 1;Day 2;Day 3;Day 4;Day 5;Day 6;Day 7;Day 8;Day 9;Day 10;Day 11;Day 12;Day 13;Day 14;Day 15;Day 16;Day 17;Day 18;Day 19;Day 20;Day 21;Day 22;Day 23;Day 24;Day 25;Day 26;Day 27;Day 28;Day 29;Day 30;Day 31;Day 32;Day 33;Day 34;Day 35;Day 36;Day 37;Day 38;Day 39;Day 40;Day 41;Day 42;Day 43;Day 44;Day 45;Day 46;Day 47;Day 48;Day 49;Day 50;Day 51;Day 52;Day 53;Day 54;Day 55;Day 56;Day 57;Day 58;Day 59;Day 60;Day 61;Day 62;Day 63;Day 64;Day 65;Day 66;Day 67;Day 68;Day 69;Day 70;Day 71;Day 72;Day 73;Day 74;Day 75;Day 76;Day 77;Day 78;Day 79;Day 80;Day 81;Day 82;Day 83;Day 84;Day 85;Day 86;Day 87;Day 88;Day 89;Day 90;Day 91;Day 92;Day 93;Day 94;Day 95;Day 96;Day 97;Day 98;Day 99;Day 100;Day 101;Day 102;Day 103;Day 104;Day 105;Day 106;Day 107;Day 108;Day 109;Day 110;Day 111;Day 112;Day 113;Day 114;Day 115;Day 116;Day 117;Day 118;Day 119;Day 120;Day 121;Day 122;Day 123;Day 124
American Samoa;55191;200;0;0;0;;
US Ohio;11689100;105829;31911;272.9979211402;0.1018160973;;;36;50;67;88;119;169;247;351;442;564;704;867;1137;1406;1653;1933;2199;2547;2902;3312;3739;4043;4450;4782;5148;5512;5878;6250;6604;6975;7280;7791;8414;9107;10222;11602;12919;13725;14117;14694;15169;15587;15963;15699;16128;17303;18027;18743;19335;19914;20474;20969;21576;22131;23016;23697;24081;24777;25250;25721;26357;26954;27474;27923;28454;28952;29436;30167;30794;31408;31911
US Oklahoma;3956971;177660;6037;152.5661926762;0.0774183581;;;44;49;53;67;81;106;164;248;322;377;429;481;565;719;879;988;1159;1252;1327;1472;1524;1684;1794;1868;1970;2069;2184;2263;2357;2465;2570;2599;2680;2807;2894;3017;3121;3193;3253;3280;3410;3473;3618;3748;3851;3972;4044;4127;4201;4330;4424;4490;4589;4613;4732;4852;4962;5086;5237;5310;5398;5489;5532;5680;5849;5960;6037
US Oregon;4217737;248608;3927;93.1068011116;0.0700447475;;;30;33;36;39;47;75;88;114;137.5;161;191;209;268;327;414;479;548;606;690;736;826;899;999;1068;1132;1181;1239;1321;1346;1371;1527;1584;1633;1663;1736;1785;1844;1910;1956;2002;2059;2127;2177;2253;2311;2354;2400;2446;2510;2579;2635;2680;2759;2839;2916;2989;3068;3160;3228;3286;3351;3416;3479;3541;3612;3623;3687;3726;3801;3817;3864;3888;3927
US Pennsylvania;12801989;115883;67713;528.925622417;0.1083907472;;;41;47;63;76;96;133;185;268;371;479;644;851;1127;1687;2218;2751;3394;4087;4843;5805;7016;8420;10017;11510;12980;14559;16239;18228;19979;21655;22833;24199;25345;26490;27735;29441;31069;32284;33232;34528;35684;37053;38652;40049;41165;42050;43264;44366;45763;46971;48305;49267;50092;50957;51845;52915;54238;55316;56611;57154;57991;58698;59636;60622;61611;62234;63056;63666;64529;65392;66258;66983;67713
US Puerto Rico;3193694;8868;3189;99.8530228632;0.0775969063;;;31;39;51;64;79;100;127;174;239;286;316;378;452;475;513;573;620;683;725;788;897;903;923;974;1043;1068;1118;1213;1252;1298;915;1095.5;1276;1307;1371;1389;1400;1433;1539;1575;1757;1808;1843;1924;1968;2031;2156;2173;2198;2256;2299;2329;2427;2542;2589;2646;2710;2805;2866;2913;3030;3100;3189
US Rhode Island;1059361;2678;14065;1327.6871623554;0.0945816072;;;33;44;54;66;83;106;124;132;165;203;239;294;402;489;566;657;709;806;922;1082;1230;1450;1727;2015;2349;2665;2976;3251;3529;3838;4177;4479;4755;5098;5467;5845;6262;6699;7129;7439;7708;7926;8247;8621;8962;9289;9477;9652;9933;10205;10530;10779;10989;11274;11450;11614;11835;12016;12219;12434;12674;12795;12951;13356;13571;13736;13952;14065
US South Carolina;5148714;77857;10096;196.0877997885;0.0878110393;;;33;60;70.5;81;152;195;298;361;424;456;497.5;539;774;925;1083;1293;1554;1735.5;1917;2049;2233;2417;2552;2792;3065;3207;3319;3436;3553;3656;3793.5;3931;4246;4377;4408;4439;4761;4917;5085;5253;5490;5551.5;5613;5881;6095;6258;6489;6626;6691.5;6757;6936;7039;7142;7531;7653;7790;7927;8058;8189;8407;8534;8661;8942;9056;9115.5;9175;9638;9895;10096
US South Dakota;884659;196350;4563;515.7919605181;0.0858569367;;;30;41;46;58;68;90;101;108;129;165;187;212;240;288;320;393;447;536;626;730;868;988;1168;1311;1411;1542;1635;1685;1755;1858;1956;2040;2147;2212;2245;2313;2373;2449;2525;2588;2631;2668;2721;2779;2905;3144;3393;3517;3614;3663;3732;3792;3887;3959;3987;4027;4085;4177;4250;4356;4468;4563
US Tennessee;6829174;106798;20145;294.984430035;0.0950218339;;;32;39;52;73;98;154;228;371;505;615;667;784;957;1203;1373;1537;1834;2239;2683;2845;3067;3321;3633;3802;4138;4362;4634;4862;5114;5308;5610;5823;6079;6262;6589;6762;7070;7238;7394;7842;8266;8726;9189;9667;9918;10052;10366;10735;11891;12661;13177;13571;13690;13938;14096;14441;14768;14985;15544;16111;16370;16699;16970;17288;17388;18011;18378;18532;18961;19394;19789;20145
US Texas;28995881;676587;55348;190.8822842803;0.1060590057;;;39;51;56;57;64;83;143;194;304;334;352;410;974;1396;1731;2052;2552;2877;3266;3997;4669;5330;6110;6812;7276;8262;9353;10230;11671;12561;13484;13906;14624;15492;16455;17371;18260;18923;19458;20196;21069;21944;22806;23773;24631;25297;26171;27054;28087;29229;30522;31548;32332;33369;34422;35390;36609;37860;38869;39869;41048;42403;43851;45198;46999;47784;48693;49912;51323;52268;53449;54509;55348
