Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16
Australia;25499884;7682300;6462;25.3412917486;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;5.5;6;9;10.5;12;12.3333333333;12.6666666667;13;13.5;14;15;15.4545454545;15.9090909091;16.3636363636;16.8181818182;17.2727272727;17.7272727273;18.1818181818;18.6363636364;18.0909090909;18.5454545455;19;18.4545454545;18.9090909091;19.3636363636;19.8181818182;19.2727272727;19.7272727273;20.1818181818;20.6363636364;21.0909090909;21.5454545455;22;24;27;34;46;49;53;56;69;84;99;120;151;187;236;281;360;434;548;657;763;1041;1514;1642;1999;2314;2759;3089;3583;3924;4300;4497;4799;5053
Australia Australian Capital Territory;426709;2358;103;24.138230035;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;3;5;7;17;30;37;44;51;60;69;75;76;78;81;84
Australia New South Wales;8089526;809952;2897;35.8117397731;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;4.0588235294;4.1176470588;4.1764705882;4.2352941176;4.2941176471;4.3529411765;4.4117647059;4.4705882353;4.5294117647;4.5882352941;4.6470588235;4.7058823529;4.7647058824;4.8235294118;4.8823529412;4.9411764706;5;5.0588235294;5.1176470588;5.1764705882;5.2352941176;5.2941176471;4.3529411765;4.4117647059;4.4705882353;4.5294117647;3.5882352941;3.6470588235;3.7058823529;3.7647058824;3.8235294118;3.8823529412;3.9411764706;4;7.5;9;17;19;20;22;32;42;48;58;71.5;85;104;126;163;202;258;297;341;424;653;725.5;797;1008;1198;1383;1594;1767;2007;2082;2157;2273
Australia Northern Territory;245869;1419630;28;11.3881782575;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;3;3;5;5.5;6;9;12;13.5;15;15.6666666667;16.3333333333;17;19;21
Australia Queensland;5095100;1851736;1001;19.6463268631;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;3;2;2;3;3;4;5;5.1818181818;5.3636363636;5.5454545455;5.7272727273;5.9090909091;6.0909090909;6.2727272727;6.4545454545;6.6363636364;6.8181818182;7;7.1818181818;7.3636363636;7.5454545455;7.7272727273;7.9090909091;8.0909090909;8.2727272727;8.4545454545;8.6363636364;8.8181818182;9;9.6666666667;10.3333333333;11;12;13;13.6666666667;14.3333333333;15;16.5;18;20;26.5;34;45;59;66;76;92;140;180;217;255;315;393;439;489;551;620;651;684;738;776;830
Australia South Australia;1751693;1044353;433;24.7189433308;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;5;6;7;7.4;7.8;8.2;8.6;9;12.5;16;19;20;29;33;37;42;50;67;100;134;169;200.5;232;254;284;295;301;333;363;377.5
Australia Tasmania;534281;90758;169;31.6312951424;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;3;3;5;5.5;6;7;7.5;8;10;12;14;20;26;30;33;44;50.5;58;61;62.5;63;64.5;66
Australia Victoria;6594804;237657;1299;19.6973253489;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;3;4;4.1071428571;4.2142857143;4.3214285714;4.4285714286;4.5357142857;4.6428571429;4.75;4.8571428571;4.9642857143;5.0714285714;5.1785714286;5.2857142857;5.3928571429;5.5;5.6071428571;5.7142857143;5.8214285714;5.9285714286;6.0357142857;6.1428571429;6.25;6.3571428571;6.4642857143;6.5714285714;6.6785714286;6.7857142857;6.8928571429;7;8;9;9.5;10;10.3333333333;10.6666666667;11;13;15;18;21;25.5;33;46;53;67;90;117;152;186;221;347;373;400;454;508;561;671;755;807;903;954;1022
Australia Western Australia;2621680;2642753;532;20.2923316347;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;2;3;5;8;9.5;12;15;20.5;26;29;33;50;62;88;117;136;171;197;225;248.5;272;305;349;358;386;394
Austria;9006398;82409;14476;160.7301831431;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;8;13;15;18;25;35;49;71;88;110;154;216;253;446;587;774;910;1204;1500;1855;2220;2628;3378;4254;5040;5315;6614;7338;7934;8438;9250;9796;10318;10719
