Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16
US Illinois;12671821;143793;25733;203.0726286301;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;5.5;6;6.5;7;19;22;25;32;46;64;93;158;284;417;579.5;747;1040;1261;1516;1843;2512;2992;3444;4531;4964;5835;6692;7273;8319;9604;10207;10989;12014;13213;13884;14861;15689;16256;16968;17253;17613;18038
US Indiana;6732219;92789;9542;141.7363279477;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;6;10;12;13.5;15;19;23;28;37;54;77;122;195;252;353;463;628;957;1201;1482;1751;2110;2500;2961;3335;3827;4210;4685;5142;5466;5706;5926;6203;6414;6450;6368;6390;6503
US Iowa;3155070;144669;2141;67.8590332386;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;13;14;16;17;18;22;23;29;38;45;68;90;102;116;132;165;219;281;318;402;474;520;576;654;718;778;841;924;1000;1091;1153;1212;1251;1286;1402;1446;1527
US Kansas;2913314;211754;1588;54.5083708793;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;4;6;6;7;10;14;15;33;43;53;62;80;96;123;164;196;254;311;357;413;466;518;576;643;683;763;802;877;938;964;1007;1018;1008;998;1012;1036
US Kentucky;4467673;102269;2291;51.2794915832;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;6;8;9.5;11;14;16;20;21;25;34;46;52;96;100;118;149;188.5;237;288;378;418;458;565;645;723;777;818;851;884;992;1148;1445;1464.5;1446;1524;1568;1619;1611
US Louisiana;4648794;111898;22532;484.6848451448;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;14;36;69;89;112;167;234;339;467;569;817;1138;1342;1730;2222;2627;3178;3389;3840;4998;6151;8803;9818;11911;12173;13695;14896;15235;15978;16507;16699;17055;16991;16281;15527;13382
US Maine;1344212;79883;796;59.2168497231;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;17;32;43;53;57;73;89;107;125;149;154;165;208;250;258;271;301;323;375;383;381;392;394;388;405;418;405;380;423;431;426;420
US Maryland;6045680;25142;10784;178.3753026955;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;5;6;9;12;17;26;31;37;57;85;106;146;187;241;283;343;414;568;757;966;1208;1376;1603;1900;2224;2609;2935;3365;3757;4022;5106;5605;6194;6702;6986;7523;7812;8047;8453
US Massachusetts;6892503;20202;32181;466.8985998265;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;13;27;41;92;93.5;95;123;138;151;164;218;254;326;405;512;619;736;1067;1744.5;2322;3117;4119;4804;5588;6402;7482;8638;9989;11211;11854;13060;14043;14952;16524;17734;18603;20520;21115;21543;22180;23215
US Michigan;9986857;146435;29263;293.0151097588;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;18;34;52;72;98;128;168;254;358;497;702;945;1196;1471;1915;2359;2861;3320;3929;4415;4930;5535;6083;6563;7065;7714;8091;8530;8968;9482;9975;10725;11225;11852;12469;13061;13382;13529;13737;14124;14706;14628;14734;15126;15171;15146
US Minnesota;5639632;206232;1912;33.9029213254;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;5;9;14;21;35;54;60;77;89;115;137;168;233;259;282;337;384;420;468;522;569;612;653;674;727;766;751;807;867;896;938;986;1118;1074;1066;1120;1170
