#;Company;Symbol;Price;Chg;% Chg;Weight sp500;Weight nasdaq100
235;Healthpeak Properties Inc.;PEAK;35.96;-0.04;-0.11%;0.048658
236;Henry Schein Inc.;HSIC;77.86;-1.13;-1.43%;0.027676
237;Hershey Company;HSY;196.57;-0.43;-0.22%;0.071858
238;Hess Corporation;HES;85.25;4.42;5.47%;0.055815
239;Hewlett Packard Enterprise Co.;HPE;16.97;0.08;0.47%;0.055342
240;Hilton Worldwide Holdings Inc;HLT;152.18;0.38;0.25%;0.106113
241;Hologic Inc.;HOLX;71;0.24;0.34%;0.045137
242;Home Depot Inc.;HD;405.76;-1.48;-0.36%;1.079789
243;Honeywell International Inc.;HON;210.82;-0.24;-0.11%;0.365101;0.957
244;Hormel Foods Corporation;HRL;49.33;-0.31;-0.62%;0.035226
245;Host Hotels & Resorts Inc.;HST;17.35;-0.03;-0.17%;0.030984
246;Howmet Aerospace Inc.;HWM;33.65;0.33;0.99%;0.03226
247;Humana Inc.;HUM;366.65;-89.18;-19.56%;0.14691
248;Huntington Bancshares Incorporated;HBAN;17.04;0.62;3.78%;0.060773
249;Huntington Ingalls Industries Inc.;HII;190.6;3.61;1.93%;0.018837
250;IDEX Corporation;IEX;230.67;-0.68;-0.29%;0.044107
251;IDEXX Laboratories Inc.;IDXX;576.36;-7.10;-1.22%;0.124506;0.341
252;IHS Markit Ltd.;INFO;127.35;-0.96;-0.75%;0.128295
253;IPG Photonics Corporation;IPGP;168;-1.48;-0.87%;0.015373
254;IQVIA Holdings Inc;IQV;262.51;0.90;0.34%;0.125676
255;Illinois Tool Works Inc.;ITW;246.6;-0.03;-0.01%;0.177282
256;Illumina Inc.;ILMN;380;12.12;3.29%;0.144502;0.387
257;Incyte Corporation;INCY;72.6;2.15;3.05%;0.033247
258;Ingersoll Rand Inc.;IR;60.3;1.09;1.84%;0.060185
259;Intel Corporation;INTC;54.1;0.23;0.43%;0.550455;1.437
260;Intercontinental Exchange Inc.;ICE;133.16;0.77;0.58%;0.186991
261;International Business Machines Corporation;IBM;135.34;-2.88;-2.08%;0.310751
262;International Flavors & Fragrances Inc.;IFF;143.82;-1.10;-0.76%;0.092688
263;International Paper Company;IP;48.34;-0.35;-0.72%;0.047718
264;Interpublic Group of Companies Inc.;IPG;37.8;0.56;1.50%;0.03677
265;Intuit Inc.;INTU;586.39;-7.31;-1.23%;0.421505;1.164
266;Intuitive Surgical Inc.;ISRG;334.18;-7.77;-2.27%;0.305568;0.842
267;Invesco Ltd.;IVZ;24.14;0.45;1.90%;0.020287
268;Iron Mountain Inc.;IRM;47.63;-0.87;-1.79%;0.035334
269;J.B. Hunt Transport Services Inc.;JBHT;201.95;-1.41;-0.69%;0.042884
270;J.M. Smucker Company;SJM;141.28;0.27;0.19%;0.038331
271;JD.com Inc ADR;JD;66.99;3.97;6.30%;;0.317
272;JPMorgan Chase & Co.;JPM;165.52;1.74;1.06%;1.215996
273;Jack Henry & Associates Inc.;JKHY;169.81;-3.11;-1.80%;0.032224
274;Jacobs Engineering Group Inc.;J;138.88;-0.19;-0.14%;0.045438
275;Johnson & Johnson;JNJ;171.63;-0.59;-0.34%;1.139117
276;Johnson Controls International plc;JCI;80.38;1.35;1.71%;0.141165
277;Juniper Networks Inc.;JNPR;34.44;0.18;0.53%;0.027941
278;KLA Corporation;KLAC;432.22;11.48;2.73%;0.161163;0.435
279;Kellogg Company;K;65.96;0.29;0.44%;0.041847
280;Keurig Dr Pepper Inc;KDP;37.43;0.40;1.08%;;0.351
281;KeyCorp;KEY;25.93;1.26;5.11%;0.059137
282;Keysight Technologies Inc;KEYS;192.59;0.43;0.22%;0.088782
283;Kimberly-Clark Corporation;KMB;143.12;-0.94;-0.65%;0.12169
284;Kimco Realty Corporation;KIM;25.09;0.33;1.33%;0.037666
285;Kinder Morgan Inc Class P;KMI;17.02;0.35;2.10%;0.081501
286;Kraft Heinz Company;KHC;36.83;0.07;0.19%;0.065407;0.3
287;Kroger Co.;KR;47.12;0.31;0.66%;0.079817
288;L3Harris Technologies Inc;LHX;215.75;6.37;3.04%;0.103204
289;LKQ Corporation;LKQ;59.36;0.64;1.09%;0.039954
290;Laboratory Corporation of America Holdings;LH;288.55;1.98;0.69%;0.069469
291;Lam Research Corporation;LRCX;696.55;4.74;0.69%;0.244723;0.667
292;Lamb Weston Holdings Inc.;LW;68.11;4.99;7.91%;0.022974
293;Las Vegas Sands Corp.;LVS;37.74;0.77;2.08%;0.030747
294;Leidos Holdings Inc.;LDOS;90.97;-0.59;-0.64%;0.032286
295;Lennar Corporation Class A;LEN;108.32;-2.49;-2.25%;0.076325
296;Lincoln National Corporation;LNC;72.59;1.68;2.37%;0.031391
297;Linde plc;LIN;338.01;-8.40;-2.42%;0.446062
298;Live Nation Entertainment Inc.;LYV;119.34;1.87;1.59%;0.038833
299;Lockheed Martin Corporation;LMT;358;-0.14;-0.04%;0.221301
300;Loews Corporation;L;59.36;0.58;0.99%;0.030096
301;Lowe's Companies Inc.;LOW;258.7;3.95;1.55%;0.44314
302;Lucid Group Inc;LCID;37.85;1.17;3.19%;;0.431
303;Lululemon Athletica Inc;LULU;368.77;6.29;1.74%;;0.316
304;Lumen Technologies Inc.;LUMN;13.04;0.24;1.87%;0.029625
305;LyondellBasell Industries NV;LYB;96.7;0.43;0.45%;0.06264
306;M&T Bank Corporation;MTB;171.93;6.64;4.02%;0.053368
307;MGM Resorts International;MGM;44.47;1.43;3.32%;0.043293
308;MSCI Inc. Class A;MSCI;562.98;-3.14;-0.55%;0.117006
309;Marathon Oil Corporation;MRO;18.03;0.82;4.76%;0.034012
310;Marathon Petroleum Corporation;MPC;70.15;1.91;2.80%;0.105526
311;MarketAxess Holdings Inc.;MKTX;373.35;-5.68;-1.50%;0.036088
312;Marriott International Inc. Class A;MAR;165.22;0.85;0.52%;0.112794;0.364
313;Marsh & McLennan Companies Inc.;MMC;166.69;1.86;1.13%;0.209431
314;Martin Marietta Materials Inc.;MLM;437.09;-0.08;-0.02%;0.068441
315;Marvell Technology Inc;MRVL;85.53;1.41;1.68%;;0.484
316;Masco Corporation;MAS;68.65;0.33;0.48%;0.042489
317;Mastercard Incorporated Class A;MA;370;-3.90;-1.04%;0.816091
318;Match Group Inc.;MTCH;126.8;1.28;1.02%;0.089291;0.25
319;McCormick & Company Incorporated;MKC;96.49;-0.43;-0.44%;0.060571
320;McDonald's Corporation;MCD;269.73;2.54;0.95%;0.501642
321;McKesson Corporation;MCK;244.61;-2.70;-1.09%;0.095895
322;Medtronic Plc;MDT;104.97;-1.04;-0.98%;0.358456
323;MercadoLibre Inc;MELI;1156.78;27.09;2.40%;;0.417
324;Merck & Co. Inc.;MRK;78.61;-0.27;-0.34%;0.50031
325;MetLife Inc.;MET;66.45;1.82;2.82%;0.118017
326;Meta Platforms Inc. Class A;FB;333.69;9.52;2.94%;1.927186;4.779
327;Mettler-Toledo International Inc.;MTD;1602.85;19.74;1.25%;0.091904
328;Microchip Technology Incorporated;MCHP;85.3;0.78;0.92%;0.117829;0.323
329;Micron Technology Inc.;MU;95.94;1.54;1.63%;0.266517;0.717
330;Microsoft Corporation;MSFT;314.6;-1.78;-0.56%;5.96799;9.899
331;Mid-America Apartment Communities Inc.;MAA;220.9;-2.32;-1.04%;0.064517
332;Moderna Inc.;MRNA;216.06;0.83;0.39%;0.19074;0.628
333;Mohawk Industries Inc.;MHK;180.47;-1.95;-1.07%;0.025569
334;Molson Coors Beverage Company Class B;TAP;49.51;0.10;0.20%;0.023496
335;Mondelez International Inc. Class A;MDLZ;67.38;-0.03;-0.04%;0.236331;0.616
336;Monolithic Power Systems Inc.;MPWR;465.61;5.08;1.10%;0.049384
337;Monster Beverage Corporation;MNST;95.52;-0.53;-0.55%;0.089771;0.344
338;Moody's Corporation;MCO;374.62;-2.43;-0.64%;0.153136
339;Morgan Stanley;MS;103.42;1.74;1.71%;0.3667
340;Mosaic Company;MOS;39.41;0.41;1.05%;0.036295
341;Motorola Solutions Inc.;MSI;257.69;-1.42;-0.55%;0.110018
342;NIKE Inc. Class B;NKE;161.35;-0.90;-0.55%;0.519842
343;NRG Energy Inc.;NRG;40.64;-0.78;-1.88%;0.025595
344;NVIDIA Corporation;NVDA;282.51;6.47;2.34%;1.733882;4.13
345;NVR Inc.;NVR;5690.84;-38.27;-0.67%;0.048525
346;NXP Semiconductors NV;NXPI;226.96;2.39;1.06%;0.149357;0.412
347;Nasdaq Inc.;NDAQ;195.46;0.44;0.23%;0.056865
348;NetApp Inc.;NTAP;93.24;0.59;0.64%;0.052106
349;NetEase Inc ADR;NTES;97.14;1.68;1.76%;;0.184
350;Netflix Inc.;NFLX;554.31;-13.21;-2.33%;0.631613;1.741
351;Newell Brands Inc;NWL;23.08;0.04;0.17%;0.021994
352;Newmont Corporation;NEM;58.6;-1.73;-2.87%;0.120918
353;News Corporation Class A;NWSA;22.5;0.67;3.07%;0.021566
354;News Corporation Class B;NWS;22.73;0.69;3.13%;0.006826
355;NextEra Energy Inc.;NEE;85.77;-3.96;-4.41%;0.442348
356;NiSource Inc;NI;27.65;-0.12;-0.43%;0.027135
357;Nielsen Holdings Plc;NLSN;20.36;-0.12;-0.59%;0.01851
358;Norfolk Southern Corporation;NSC;296.64;1.93;0.65%;0.180167
359;Northern Trust Corporation;NTRS;125.98;1.55;1.25%;0.065026
360;Northrop Grumman Corporation;NOC;393;-1.99;-0.50%;0.14906
361;NortonLifeLock Inc.;NLOK;27.06;0.86;3.28%;0.038194
362;Norwegian Cruise Line Holdings Ltd.;NCLH;21.34;-0.32;-1.48%;0.019913
