Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;Last Trend
Australia Northern Territory;245869;1419630;6;2.4403239123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0.1362193665;0.235930917;0.3837825752;0.442797976;0.33748061;
Australia Queensland;5095100;1851736;397;7.7917999647;;;;;;;;;;;;;;;0.0392898776;0;0.0932651139;0.1442496849;0.189207115;0.1701736597;0.1066819197;0.0573712634;0.0173978273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0608783473;0.1127795715;0.1582921853;0.1791707147;0.1301914649;0.1106700273;0.0819557268;0.076878366;0.0723968774;0.0528102459;0.0672345548;0.0796992896;0.0905888023;0.1492068393;0.2043980234;0.2793904915;0.3179608623;0.2889238816;0.2415735929;0.2213768513;0.2461450611;0.2761464002;0.2897015133;0.2609995285;0.2328863412;0.2445141066
Australia South Australia;1751693;1044353;170;9.7048969197;;;;;;;;;;;;;;;;;;0.0466351394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0392898776;0.0745699318;0.1066819197;0.1066819197;0.119627769;0.1290504322;0.1723346544;0.2053905237;0.175456745;0.1273765203;0.0542475328;0.0489228801;0.0445522731;0.1280150799;0.2031183354;0.2435370047;0.2842282703;0.2307048764;0.2121817249;0.1837643767;0.1736002663;0.1948836826;0.229374023;0.2920689353;0.330294862;0.2686567164
Australia Tasmania;534281;90758;28;5.2406879526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0745699318;0.1362193665;0.189207115;0.235930917;0.189207115;0.2178832856;0.2132436459;0.2295763059;0.2247448714;0.1612061509;0.1656467908;0.1397535285;0.1362193665;0.1582921853;0.189207115;0.2503887075;0.2698234325;
Australia Victoria;6594804;237657;411;6.232179152;;;;;;;;;;;;0.316074013;0.3837825752;0.316074013;0.189207115;0.0745699318;0.0219911623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0573712634;0.1066819197;0.1766211414;0.2014057071;0.1688712941;0.1266301601;0.0686816558;0.0552501469;0.0339463079;0.0627984969;0.1004817771;0.1488359479;0.1701736597;0.2049616353;0.245842945;0.2734258046;0.3105557614;0.2988667309;0.2816370155;0.2402599883;0.196694623;0.2068880389;0.2530135601;0.2929495482;0.3256373958;0.1577464789
Australia Western Australia;2621680;2642753;175;6.6751090904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0745699318;0.1066819197;0.1066819197;0.0932651139;0.1290504322;0.2053905237;0.2778862085;0.33748061;0.3244304582;0.2607294827;0.2677835489;0.2414118981;0.2381320494;0.252161056;0.2492412449;0.283108574;0.3066391824;0.312340432;0.3028009825;0.25
Austria;9006398;82409;5283;58.658300466;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5556842475;0.604340218;0.4591650317;0.3677823999;0.321391592;0.3480020255;0.3677823999;0.362925333;0.3514703138;0.3368831201;0.3233858166;0.3529181496;0.3681336988;0.3785773151;0.364828499;0.321667842;0.2860084313;0.2538997412;0.2430144997;0.2244267971;0.2176338472;0.2148159729;0.2186972355;0.1808225302
Azerbaijan;10139177;82658;87;0.8580578088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.235930917;0.2778862085;0.2247448714;0.1791707147;0.1022639396;0.0828683853;0.0819557268;0.0904266691;0.1434799235;0.189207115;0.2088052619;0.1963929834;0.1720092318;0.1514060668;0.1558407595;0.1784439527;0.1740548859;0.1788200319;0.2083333333
Bahamas;393244;10010;5;1.2714752164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3837825752;0.2446659546;0.1673775258;
Bahrain;1701575;760;392;23.0374799818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2144697654;0.1138652114;0.0919228583;0.0806240865;0.0590725904;0.0507489774;0.0837160325;0.1127795715;0.141643002;0.1479431522;0.189207115;0.2142567939;0.2189264414;0.1993289392;0.1153409929;0.0628272201;0.0290512234;0.038546731;0.0533339462;0.0644268126;0.0725164733;0.0726403677;0.0745699318;0.0772658748;0.0397877984
Bangladesh;164689383;130170;39;0.0236809437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.0514473818;0.1547005384;0.2643616997;0.3731780959;0.3894655801;0.3361725589;0.2813446602;0.2247448714;0.1999378904;0.1803648131;
Barbados;287375;430;18;6.2635928665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4239338152;0.421522403;
Belarus;9449323;202910;81;0.8572042674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.442797976;0.5650845801;0.5650845801;0.2247448714;0.0847565675;0.0392898776;0.0745699318;0.1362193665;0.2778862085;0.331469309;0.3554030054;0.316074013;0.1983908635;0.1683966254;0.1424797652;0.1740548859;0.1861926241;0.1577686633;0.1399064437;0.0861635181;0
Belgium;11589623;30280;4269;36.8346752953;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0745699318;0.3837825752;0.663993576;0.9569640853;1.1533251607;1.0168317783;0.9432850157;0.8154897656;0.6306144328;0.4034059978;0.2574334297;0.1697654358;0.1820525519;0.2196046797;0.2701211288;0.3096551526;0.2800673964;0.2478246738;0.2066520229;0.2042745905;0.2115636809;0.2230253963;0.2180729085;0.1981514467;0.1405289874
Belize;397628;22810;1;0.2514913437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Benin;12123200;112760;6;0.0494918833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1066819197;0.1582921853;0.2132436459;
