Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12
US Ohio;11689100;105829;6604;56.4970784748;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;5;13;24.5;36;50;67;88;119;169;247;351;442;564;704;867;1137;1406;1653;1933;2199;2547;2902;3312;3739;4043;4450;4782;5148;5512;5836;6187;6604
US Oklahoma;3956971;177660;1970;49.7855556687;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;3;4;9;10;17;29;44;49;53;67;81;106;164;248;322;377;429;481;565;719;879;988;1159;1252;1327;1472;1524;1684;1794;1868;1970
US Oregon;4217737;248608;1527;36.2042488662;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;7;14;14.5;15;19;24.5;30;33;36;39;47;75;88;114;137.5;161;191;209;268;327;414;479;548;606;690;736;826;899;999;1068;1132;1181;1239;1321;1346;1371;1527
US Pennsylvania;12801989;115883;22833;178.3550977899;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;10;12;16;22;41;47;63;76;96;133;185;268;371;479;644;851;1127;1687;2218;2751;3394;4087;4843;5805;7016;8420;10017;11510;12980;14559;16239;18228;19979;21655;22833
US Puerto Rico;3193694;8868;897;28.0865981525;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7.25;9.5;11.75;14;21;23;31;39;51;64;79;100;127;174;239;286;316;378;452;475;513;573;620;683;725;788;897
US Rhode Island;1059361;2678;2665;251.5667463688;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;3;2;3;3;3;5;9.5;14;20;20.5;21;23;33;44;54;66;83;106;124;132;165;203;239;294;402;489;566;657;709;806;922;1082;1230;1450;1727;2015;2349;2665
US South Carolina;5148714;77857;3319;64.4626988409;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;7;8;9;10;12;13;19;28;33;60;70.5;81;152;195;298;361;424;456;497.5;539;774;925;1083;1293;1554;1735.5;1917;2049;2233;2417;2552;2792;3065;3207;3319
US South Dakota;884659;196350;730;82.5176706505;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;9;9.3333333333;9.6666666667;10;11;12;13;14;17.5;21;28;30;41;46;58;68;90;101;108;129;165;187;212;240;288;320;393;447;536;626;730
US Tennessee;6829174;106798;5308;77.7253588794;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;7;12.5;18;26;32;39;52;73;98;154;228;371;505;615;667;784;957;1203;1373;1537;1834;2239;2683;2845;3067;3321;3633;3802;4138;4362;4634;4862;5114;5308
US Texas;28995881;676587;13484;46.503156776;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;8;10;12;13;21;23;39;51;56;57;64;83;143;194;304;334;352;410;974;1396;1731;2052;2552;2877;3266;3997;4669;5330;6110;6812;7276;8262;9353;10230;11671;12561;13484
