Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;Last Trend
US Nevada;3080156;284332;2836;92.0732586272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4422641006;0.3420739232;0.2831343116;0.2468826436;0.2554728415;0.2643616997;0.2665348686;0.245829052;0.2291636733;0.2193171178;0.2239378967;0.2345424234;0.2234630854;0.2119387621;0.1940436098;0.1576391662;0.133166836;0.1062476713;0.0948023784;0.0842955378;0.0776624147;0.0773945047;0.0739622875;0.0713090986;0.0630626907;0.0503703704
US New Hampshire;1359711;23187;929;68.3233422396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3233253839;0.2967431533;0.2465589881;0.2231812976;0.2008830158;0.2051970575;0.1944279679;0.1855347898;0.1813605873;0.1989677064;0.2199043913;0.2272779664;0.2170654564;0.1702554814;0.1320912569;0.1066397483;0.1052127447;0.1057867959;0.10326912;0.0889988038;0.0713071699;0.0575030806;0.0492953772;0.0497175141
US New Jersey;8882190;19047;61850;696.3372771805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4515959323;0.5007375128;0.5116164957;0.5425844211;0.594778479;0.557388902;0.5278695791;0.4753147264;0.4347509985;0.4225955257;0.3860514786;0.3793303256;0.3481868057;0.3354862089;0.3217810252;0.2879524279;0.2476912937;0.210448122;0.188631447;0.1724092294;0.1645698571;0.1522880725;0.1408458081;0.1215660462;0.1036426136;0.0891825637;0.0794697348;0.0741624046;0.0705029062;0.0636102561
US New Mexico;2096829;314161;1174;55.9893057565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2565212539;0.2641960881;0.2633232088;0.2404499354;0.2077809063;0.1849775028;0.1642050481;0.1634535122;0.1743080514;0.2038699069;0.2280240035;0.235331968;0.2223918444;0.1813413309;0.141917887;0.1199979796;0.1286869844;0.1393954124;0.147368977;0.144227632;0.1365346015;0.1294570395;0.1341628524;0.1362346956;0.1272712542;0.0366445916
US New York;19453561;122057;188694;969.9715131847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4189131263;0.3484292596;0.3114660192;0.3169870028;0.332493911;0.3283790364;0.3713217843;0.4126720302;0.4892371185;0.5773138757;0.5902545388;0.5957167355;0.540722552;0.4585241335;0.3754752856;0.3019170952;0.2484112606;0.2143997254;0.1925827187;0.1744393584;0.1567730128;0.1391528561;0.1264109781;0.1183533475;0.1123420788;0.1063487913;0.0982320364;0.0884839524;0.0790658511;0.0725721487;0.0696979479;0.0687583134;0.0653972372;0.0456394286
US North Carolina;10488084;125920;4520;43.0965274496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2842282703;0.3001186521;0.3554030054;0.41252696;0.4345671897;0.3850388476;0.3373398596;0.3013997691;0.2783019841;0.2680612853;0.2519711222;0.2292877821;0.2086360959;0.1922419231;0.1710250416;0.1589144971;0.1395283767;0.1337140695;0.1269818433;0.1230638078;0.1189742617;0.1063623675;0.0981961262;0.0873912325;0.0815383919;0.0756409799;0.0482374768
US North Dakota;762062;178711;308;40.416659012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.130769716;0.1287683459;0.1571811124;0.2109794177;0.2431526801;0.2341615053;0.2087316911;0.1717307804;0.1478184254;0.1306939957;0.1167896529;0.1069264633;0.0968320948;0.0899634729;0.0831533382;0.0753995789;0.0659911621;0.0585546691;0.0537190613;0.0511945392
US Ohio;11689100;105829;6604;56.4970784748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3895232116;0.3581770628;0.3674630111;0.3907862095;0.3957919656;0.3783134707;0.3370898194;0.2916671923;0.2702927814;0.2590519003;0.2515835381;0.2365713334;0.2089648546;0.1830123164;0.1619250103;0.1509852971;0.1452825936;0.1352569767;0.1245723423;0.1094818764;0.0963550478;0.0861851142;0.0776315402;0.0720568352;0.0668319339;0.0673993858
US Oklahoma;3956971;177660;1970;49.7855556687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3180281;0.2224704978;0.2012087069;0.2451984321;0.3231551265;0.3823722293;0.3895656364;0.338907258;0.2554869325;0.1906222386;0.1684191941;0.1767571749;0.1905907207;0.1967935112;0.1780171516;0.1465571168;0.1187509849;0.0932741461;0.0832374649;0.0755388382;0.0718072189;0.0683642637;0.0546038544
US Oregon;4217737;248608;1527;36.2042488662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1909120758;0.1952902143;0.1656467908;0.1350581801;0.1646742019;0.2068297985;0.2655054021;0.2915760613;0.2651718468;0.2356155078;0.1929459663;0.184361199;0.1815661047;0.1982146288;0.214365002;0.2119142152;0.1938026373;0.1626993713;0.1360330552;0.118088296;0.1079785615;0.1024567139;0.0991623926;0.0917204951;0.082638306;0.068603183;0.0597517451;0.0511858343;0.0453946808;0.0455037732;0.113785558
