Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12
US Nevada;3080156;284332;2836;92.0732586272;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;5;7;11;20;21;44;54;74;94;108;122;188;241;274;315;410;524;601;717;963;1058;1204;1363;1405;1618;1646;1708;1809;1997;2036;2049;2079;2098
US New Hampshire;1359711;23187;929;68.3233422396;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;4.5;5;5.5;6;6.5;7;13;15;17;24;37;42;53;61;73.5;96;102.5;131;151.5;180;201;299;347.5;389;408;435;485;556;591;614;680;666.5;661;698;715
US New Jersey;8882190;19047;61850;696.3372771805;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;6;11;15;23;29;49;73;96;176;264;422;733;879;1311;1894;2817;3631;4340;6795;8717;10984;13225;16438;18429;21828;24848;29005;32797;35591;38246;40741;43035;44151;45763;47027;48464
US New Mexico;2096829;314161;1174;55.9893057565;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;10;11.5;13;17;23;28;35;43;57;61;65;83;97;107;126;179.5;224;242;258;287;328;360;438;482;559;603;694;753;955;941.5;937
US New York;19453561;122057;188694;969.9715131847;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;22;33;76;105;142;173;216;318.5;421;524;726;943;1693;2370;4130;7067;10280;15054;20733;25455;30526;36873;44116;51590;58548;65279;74095;81330;88229;95761;103348;106863;109814;113198;118505;122679;125877;128140;129181
US North Carolina;10488084;125920;4520;43.0965274496;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;7;9.5;12;15;23;32;33;40;62;96;135;182;253;295;391;494.5;624;748;912;1008;1274;1458;1521;1760;1956;2218;2330;2573;2823;2922;3015;3145;3377;3480
US North Dakota;762062;178711;308;40.416659012;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;6;15;20;28;29;30;34;39;51;64;82;97;107;123;136;144;153;158;178;195;203;212;217;213;210;210
US Ohio;11689100;105829;6604;56.4970784748;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;5;13;24.5;36;50;67;88;119;168;244;348;436;556;694;852;1118;1381;1617;1883;2132;2459;2783;3143;3492;3692;4008;4218;4444;4645;4699;4781;4951
US Oklahoma;3956971;177660;1970;49.7855556687;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;3;4;9;10;17;29;43;48;52;65;79;103;159;241;314;362;413;464;542;689;835;939;1106;1185;1246;1366;1360;1436;1472;1491;1541
US Oregon;4217737;248608;1527;36.2042488662;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;7;14;14.5;15;19;24.5;30;33;36;39;47;72;85;111;130.5;147;176.5;194;249;302.5;384;446;512;567;643;661;738;785;861.5;907;941;972;971;994;932;892;979
