#;Company;Symbol;Weight sp500;      Price;Chg;% Chg
251;Kinder Morgan Inc Class P;KMI;0.081501;  17.02;0.35;(2.10%)
252;American Water Works Company Inc.;AWK;0.081095;  174.05;-4.05;(-2.27%)
253;PACCAR Inc;PCAR;0.081053;  93.97;0.89;(0.96%)
254;Old Dominion Freight Line Inc.;ODFL;0.080501;  343.00;0.72;(0.21%)
255;Fifth Third Bancorp;FITB;0.08039;  48.37;1.94;(4.18%)
256;Valero Energy Corporation;VLO;0.080184;  79.85;1.65;(2.11%)
257;Kroger Co.;KR;0.079817;  47.12;0.31;(0.66%)
258;Dollar Tree Inc.;DLTR;0.079323;  143.40;3.00;(2.13%)
259;Twitter Inc.;TWTR;0.079057;  39.61;0.11;(0.28%)
260;Stanley Black & Decker Inc.;SWK;0.077829;  192.50;1.14;(0.60%)
261;Equity Residential;EQR;0.077322;  90.72;0.26;(0.29%)
262;Eversource Energy;ES;0.076913;  88.90;-0.33;(-0.37%)
263;WEC Energy Group Inc;WEC;0.076716;  96.35;-0.61;(-0.63%)
264;Lennar Corporation Class A;LEN;0.076325;  108.32;-2.49;(-2.25%)
265;Consolidated Edison Inc.;ED;0.076035;  86.31;0.76;(0.89%)
266;Copart Inc.;CPRT;0.075877;  141.48;-0.03;(-0.02%)
267;Weyerhaeuser Company;WY;0.075347;  40.39;0.32;(0.80%)
268;Arista Networks Inc.;ANET;0.075044;  132.67;-0.48;(-0.36%)
269;West Pharmaceutical Services Inc.;WST;0.074962;  407.74;3.77;(0.93%)
270;Ball Corporation;BLL;0.074886;  91.56;0.14;(0.15%)
271;Zebra Technologies Corporation Class A;ZBRA;0.074717;  555.16;-3.02;(-0.54%)
272;Willis Towers Watson Public Limited Company;WLTW;0.074182;  234.34;-2.67;(-1.13%)
273;Corning Inc;GLW;0.073606;  38.33;0.15;(0.39%)
274;Devon Energy Corporation;DVN;0.073602;  48.37;1.76;(3.78%)
275;Alexandria Real Estate Equities Inc.;ARE;0.073222;  209.84;3.19;(1.54%)
276;Extra Space Storage Inc.;EXR;0.073102;  217.65;-0.09;(-0.04%)
277;Hershey Company;HSY;0.071858;  196.57;-0.43;(-0.22%)
278;Occidental Petroleum Corporation;OXY;0.070778;  32.73;0.92;(2.89%)
279;Republic Services Inc.;RSG;0.070694;  133.54;-0.63;(-0.47%)
280;CDW Corp.;CDW;0.070156;  206.21;2.68;(1.32%)
281;Laboratory Corporation of America Holdings;LH;0.069469;  288.55;1.98;(0.69%)
282;Vulcan Materials Company;VMC;0.069384;  209.95;1.47;(0.71%)
283;Albemarle Corporation;ALB;0.069134;  233.38;-2.26;(-0.96%)
284;Cerner Corporation;CERN;0.068582;  92.36;-0.19;(-0.21%)
285;Martin Marietta Materials Inc.;MLM;0.068441;  437.09;-0.08;(-0.02%)
286;Zimmer Biomet Holdings Inc.;ZBH;0.068089;  128.93;-1.08;(-0.83%)
287;ONEOK Inc.;OKE;0.067788;  61.65;1.01;(1.67%)
288;Expedia Group Inc.;EXPE;0.066512;  177.58;-3.72;(-2.05%)
289;Tyson Foods Inc. Class A;TSN;0.06634;  90.84;1.12;(1.25%)
290;Tractor Supply Company;TSCO;0.065879;  231.31;1.56;(0.68%)
291;Teradyne Inc.;TER;0.065628;  163.29;3.04;(1.90%)
292;Skyworks Solutions Inc.;SWKS;0.065478;  158.14;0.06;(0.04%)
293;Kraft Heinz Company;KHC;0.065407;  36.83;0.07;(0.19%)
294;Southwest Airlines Co.;LUV;0.065279;  43.88;-0.11;(-0.25%)
295;Northern Trust Corporation;NTRS;0.065026;  125.98;1.55;(1.25%)
296;Fortive Corp.;FTV;0.064999;  72.45;0.14;(0.19%)
297;Dover Corporation;DOV;0.064755;  181.47;2.13;(1.19%)
298;Delta Air Lines Inc.;DAL;0.064646;  40.11;-0.17;(-0.42%)
299;Mid-America Apartment Communities Inc.;MAA;0.064517;  220.90;-2.32;(-1.04%)
300;Synchrony Financial;SYF;0.064489;  47.56;0.65;(1.39%)
301;Gartner Inc.;IT;0.063553;  306.23;3.02;(1.00%)
302;Church & Dwight Co. Inc.;CHD;0.063125;  102.34;-0.20;(-0.20%)
