Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21
US Hawaii;1415872;16635;24696;1744.2254667089;42.2876712329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;2;2;2;2;2;7;10;107;109;150;161;311;3011;3666;4447;4452;4463;4477;7000;8000;8675;8929;10464;10491;12278;12955;13526;13542;15149;15751;16149;17531;17968;18844;19420;19803;20700;21857;22343;23470;24175;24696
US Idaho;1787065;214045;17660;988.2125160529;10.1728110599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;27;41;41;67;93;131;176;179;270;353;468;470;613;911;1217;1356;1937;1960;2188;2857;3572;4282;4706;5712;6601;7282;7945;8870;10261;10995;11246;11898;12531;13094;13764;14308;14881;15114;15398;15831;16183;16609;16869;17445;17660
US Illinois;12671821;143793;154997;1223.1627956235;4.6884963248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;128;170;185;197;197;198;263;263;291;326;362;513;1025;1499;2051;3147;4281;6241;8320;9856;11469;14209;16631;21542;25491;27762;30446;35225;40384;43656;48048;53581;58983;62942;68732;75066;80857;87527;92149;100735;105768;110616;116929;122589;130163;137404;143318;148358;154997
US Indiana;6732219;92789;67264;999.1356490334;5.5603868728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;36;43;64;73;89;121;139;159;193;380;554;833;1494;1960;2931;3356;4651;6936;8407;9830;11658;13373;14375;16285;17835;19800;22652;26191;28764;30869;32133;35040;39215;42489;44539;46017;48396;51115;54785;56873;61142;64639;67264
US Iowa;3155070;144669;27615;875.2579182078;7.5844548201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;15;15;29;40;59;81;99;100;101;105;106;112;121;687;1117;1305;2148;2439;2723;2757;3975;4673;5349;6586;7385;7853;8668;9453;10240;10841;11599;12718;13966;14973;15953;17132;17592;18696;18885;19869;20675;21792;22947;24550;25820;27615
US Kansas;2913314;211754;19101;655.6450832282;9.4325925926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;11;12;12;18;42;45;99;99;143;177;397;433;451;461;472;481;499;2184;2486;3037;3431;3932;4513;4922;5424;5893;6611;7074;7578;8223;9084;9514;9514;10775;11414;12343;13253;13864;14147;14668;16122;16901;17676;18130;18761;19101
US Kentucky;4467673;102269;32820;734.6106127284;10.7606557377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;10;14;21;34;54;64;118;153;155;255;317;380;489;639;768;1571;1866;1886;3022;3300;4016;5123;5541;6018;6810;7556;7900;12804;15572;16663;18767;19955;21604;21801;24288;24288;24567;25866;26683;27697;28324;29747;30596;32225;32572;32820
US Louisiana;4648794;111898;142430;3063.8053654346;5.7306670958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;5;6;12;43;51;73;178;247;302;457;575;805;1047;2765;3498;5948;8603;11451;18029;21359;25161;27871;34033;38967;45776;51086;53645;58498;60325;69166;74655;81406;86919;92280;96915;104045;108091;118422;121928;126586;131987;137999;141504;142099;142430
US Maine;1344212;79883;14964;1113.2172603726;16.8513513514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;20;42;66;94;94;94;781;1335;1713;2057;2321;2337;2353;2898;3139;3326;3549;3562;3605;3647;3669;6391;6432;6464;6520;6544;6558;6587;6607;6625;6648;6674;6704;6721;12306;12342;14846;14872;14903;14923;14943;14951;14964
US Maryland;6045680;25142;73635;1217.9771340858;5.1881209047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;29;44;55;78;95;103;106;111;120;125;131;151;179;201;243;284;338;382;443;517;674;868;12508;13593;14729;16528;19218;21221;23690;25610;28337;29617;31627;38462;41529;44448;47238;49764;51751;53733;55763;58843;62009;65370;67891;71397;73635
US Massachusetts;6892503;20202;175372;2544.3877209774;4.2567052598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;8;13;13;41;92;92;95;215;490;490;516;1759;2271;3132;4091;5277;6105;8922;13749;19794;23621;29371;35049;39066;42793;46935;51738;56608;62962;68800;71937;76429;81344;87511;94958;102372;108776;116730;122049;126551;132023;140773;148744;156806;162241;162241;175372
US Michigan;9986857;146435;117226;1173.8027289266;3.5558588892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;18;34;52;80;106;146;194;290;397;554;793;1078;1401;1685;2205;3019;4128;5177;6773;8239;8810;10486;12237;14597;18072;21298;23470;25686;32084;35854;40125;44485;48922;53800;57898;61970;65373;66139;67054;72044;76014;79437;82644;86226;89697;94286;98959;99727;109661;113798;117226
